Norman fucking Rockwell;Lana Del Rey;4:08
Mariners Apartment Complex;Lana Del Rey;4:07
Venice Bitch;Lana Del Rey;9:37
Fuck it I love you;Lana Del Rey;3:38
Doin' Time;Lana Del Rey;3:22
Love song;Lana Del Rey;3:49
Cinnamon Girl;Lana Del Rey;5:00
How to disappear;Lana Del Rey;3:48
California;Lana Del Rey;5:05
The Next Best American Record;Lana Del Rey;5:49
The greatest;Lana Del Rey;5:00
Bartender;Lana Del Rey;4:23
Happiness is a butterfly;Lana Del Rey;4:32
hope is a dangerous thing for a woman like me;Lana Del Rey;5:24