IGOR'S THEME;Tyler, The Creator;3:20
EARFQUAKE;Tyler, The Creator;3:10
I THINK;Tyler, The Creator;3:32
EXACTLY WHAT YOU RUN FROM YOU END UP CHASING;Tyler, The Creator;0:14
RUNNING OUT OF TIME;Tyler, The Creator;2:57
NEW MAGIC WAND;Tyler, The Creator;3:15
A BOY IS A GUN*;Tyler, The Creator;3:30
PUPPET;Tyler, The Creator;2:59
WHAT'S GOOD;Tyler, The Creator;3:25
GONE, GONE / THANK YOU;Tyler, The Creator;6:15
I DON'T LOVE YOU ANYMORE;Tyler, The Creator;2:41
ARE WE STILL FRIENDS?;Tyler, The Creator;4:25

SIR BAUDELAIRE;Tyler, The Creator;1:29
WUSYANAME;Tyle, The Creator|YoungBoy Never Broke Again|Ty Dolla Sign;2:02

Norman fucking Rockwell
Mariners Apartment Complex
Venice Bitch
Fuck it I love you
Doin' Time
Love song
Cinnamon Girl
How to disappear
California
The Next Best American Record
The greatest
Bartender
Happiness is a butterfly;
hope is a dangerous thing for a woman like me;Lana Del Rey;5:24